User_Id	Name	Address	Address1	City	Cnty	State	Zip	Phone	Fax	Cdist	Msa	Duns	Cage	Yrest	Contact	Title	Url	Gcc	Edi	BusParntDUNSNmb	ExportCd	ExporctObjtvTxt	TechnetInd	Emall	Tof	Minc	Women	Veteran	Dav	Vietnam	RgstrtnCCRInd	BusLastUpdtDt
P1064793	G-QUANTA	117 HARVARD ST		CAMBRIDGE	017	MA	02139-2858	6179010001		08	1120	830184557	5E5Y0	2009	CHRIS TAHAN			N	N						SL						Y	Mar 14 2012 11:21:01
P1064801	LOCKERS N MORE LLC	12001 RIVERHAVEN DR		CHARLOTTE	119	NC	28214-8774	8006639515	8886166284	09	1520	829888911	5E6N9	2009	JUDY CONNELLY		http://www.lockersnmore.com	Y	N					http://www.lockersnmore.com/	LL						Y	Jan 12 2012 15:46:49
P1064806	TECH SAVVY IT LLC	2335 MARYLAND CT		DECATUR	089	GA	30032-6136	4048499056		04	0520	830159054	5E6L7	2009	BRIAN GOODMAN			Y	N					http://www.techsavvyit.com	LL						Y	Apr 14 2009 09:23:43
P1064807	STRABLETRANSPORT LLC	301 S 9TH ST		ADEL	049	IA	50003-1736	5152304522	8775947131	04	2120	829885032	5E6R8	2009	MATHEW STRABLE			N	N		N				LL						Y	Apr 14 2009 09:22:38
P1064809	KT ENTERPRISES, INC.	43571 JOHN MOSBY HWY STE 110		CHANTILLY	107	VA	20152-1939	7033277200 x328       	7033275963	10	8840	092396415	5E6U9	1978	KRISTOPHER ALVAREZ		http://www.ktenterprises.com	N	N						CP						Y	Apr 14 2009 09:16:53
P1064813	BRECHBUHLER SCALES, INC.	4070 PERIMETER DR		COLUMBUS	049	OH	43228-1037	6142749009	6142741805	15	1840	092162387	31712	1959	YVONNE APPLEGATE			Y	N	017572967					SC						Y	Feb 24 2012 15:49:56
P1064816	DC HEATING AND COOLING, INC.	870 BANK ST		AKRON	153	OH	44305-2323	3307621992	3307521992	13	0080	161096404	5EDM5	1998	LELIA CHEATHAM		http://www.dcheating-cooling.com	N	N						CP						Y	Feb 12 2010 20:17:54
P1064817	LORI JONES CPA	1034 LA TIERRA		SAN ANTONIO	029	TX	78258-3605	2108627727	2105456302	23	7240	830182114	5E6W7	1996	LORI JONES			Y	N						SL						Y	Apr 14 2009 09:24:02
P1064818	CARDAN TECHNOLOGIES	2298 N CONFERENCE DR		BOCA RATON	099	FL	33486-3137	5618070971	5618075963	22	8960	612014915	5EA95	2004	DANIEL MCDONALD		http://www.cardantek.com	Y	N		Y	Expand current export business			SC						Y	Jan 18 2011 13:15:48
P1064829	CADIENT GROUP, INC.	2520 RENAIPAANCE BLVD STE 100		WEST CONSHOHOCKEN	091	PA	19428-2998	4843512829		07	6160	123736899	5E7G8	2002	MEGHAN MARTIN			N	N						CP						Y	Mar 27 2012 10:07:13
P1064830	FRT OF AMERICA, LLC	48 SOUTH RD UNIT 1		SOMERS	013	CT	06071-2160	8607493885	8607493899	02	3280	118186746	3HQS5	1998	PAUL FLYNN		http://www.frtofamerica.com	N	N						LL						Y	May 15 2012 16:58:17
P1064724	COMMAND PERFORMANCE CONSTRUCTORS, INC.	3346 OLIVE AVE		SIGNAL HILL	037	CA	90755-4620	5629979410	5629979411	37	4480	959564766	5E5R2	1996	JAMES CHAVEZ		http://www.cpconstructors.com	Y	N		N			http://www.cpconstructors.com	SC						Y	Apr 27 2012 20:08:44
P1064728	MY CO JANITORIAL SERVICES LLC	9603 W PINNACLE VISTA DR		PEORIA	013	AZ	85383-8714	6239104572	6239743977	02	6200	611412870	5E6F5	2006	YVETTE CAMET			N	N						PS		Y	N	N		Y	Apr 11 2009 09:21:07
P1064748	STILL LIFE TAXIDERMY INC.	310 DIVISION ST S		RICE	009	MN	56367-4593	3204696871		06	6980	830194168	5E6N0	2006	TYLER LAVOY			N	N						CP						Y	Jun 23 2009 20:53:09
P1064750	SIVAL INC	3350 SCOTT BLVD STE 2001		SANTA CLARA	085	CA	95054-3106	4084921391	4084921393	15	7400	175491281	5E6B7	1985	SUSY YUEN		http://www.sivalinc.com	N	N						CP						Y	Feb 08 2012 15:49:58
P1064754	ULTIMATE WINDOW TINTING LLC	530 SADDLEWOOD LN		WINTER SPRINGS	117	FL	32708-6164	4077978386	4073275371	24	5960	830170937	5E6E2	2006	DAVID SARAO		http://www.orlandotint.com	Y	N						SC						Y	Apr 16 2009 11:53:34
P1064787	HFS-PRI, A SBGMAC JV	3565 PAHOA AVE		HONOLULU	003	HI	96816-2264	8085449000	8085449001	01	3320	830122532	5F4Y3	2009	MATTHEW A. TEHO			N	N						PS						Y	Jun 14 2012 16:28:44
P1064789	NOSALA ENGINEERING & MANUFACTURING	21411 LUTIE AVE		MOJAVE	029	CA	93501-7509	7603737866	7603733236	22	0680	938280351	5EJH7	1989	WAYNE NOSALA			Y	N						SL						Y	Oct 21 2011 02:28:33
P1064790	ILELEJI, KLEIN	1910 BLUEBERRY LN		WEST LAFAYETTE	157	IN	47906-4872	7654941198	7654961115	04	3920	829892582	5E5Z4	2009	KLEIN ILELEJI			N	N						SL						Y	Mar 09 2012 09:58:48
P1064794	KONEA LLC	2156 MORNINGTON LN		SAN RAMON	013	CA	94582-5777		6507222027	11	5775	611158424	5E6H8	2005	STEPHEN CHUN			N	N						LL						Y	Apr 14 2009 09:19:59
P1064795	INNOVISION, INC.	1 PIEDMONT CENTER STE 400		ATLANTA	121	GA	30305-1501	4048351784		05	0520	826839461	5E6G3	2007	JULIANNA ZOELDE		http://www.innovision.dk	N	N						CP						Y	Dec 01 2011 14:12:30
P1064812	VANTASTIC SEMINARS	1913 PORTMAN DR		NASHVILLE	037	TN	37214-4372	6154765229	6159020612	05	5360	172901766	5E6P3	2003	VAN RICHMOND		http://www.vantasticseminars.com	Y	N						SC						Y	Feb 18 2011 11:32:30
P1064820	NEWMAN, FORD	306 GREAT FALLS ST		FALLS CHURCH	610	VA	22046-2606	7033149597		08	8840	830158395	5E6S8	2009	FORD NEWMAN			N	N						SL						Y	Feb 09 2012 10:35:55
P1064831	OMNI-TECH CALIBRATION SERVICES, INC.	1460 TORREY RD STE A		FENTON	049	MI	48430-3331	8107506474	8107506745	05	2640	808035104	5E6W6	2007	SUE ROYCE			Y	N						CP						Y	Jun 02 2011 13:03:03
P1064832	SEEK FIRST ENTERTAINMENT, LLC	3244 W SHUMWAY FARM RD		PHOENIX	013	AZ	85041-6316	6023158178		04	6200	012873307	5E6S4	2007	KEVVIN TAYLOR			N	N						LL						Y	Apr 14 2009 09:14:07
P1064833	R & L PALMER TRUCKING	16331 HIGHWAY 79 W		MORO	077	AR	72368-9413	8707685795		01		829413645	5E6Q6	2002	RICARDO PALMER			N	N		N				SL						Y	Jun 11 2010 11:10:17
P1064834	CURRIER MACHINE SALES NORTH, INC.	35 COLUMBUS AVE STE 102		ROCHESTER	017	NH	03867-2740	6039482091	6039482091	01	6450	830176256	5E6T6	2009	ROGER LACHANCE			N	N						SC						Y	Apr 13 2010 06:56:50
